threshold,alerts,precision,recall,f1,true_positives,false_positives,false_negatives,true_negatives
0.1,71848,0.05393330364101993,0.953494094488189,0.10209189587943936,3875,67973,189,46071
0.2,40346,0.08964953155207456,0.8900098425196851,0.16289124071155145,3617,36729,447,77315
0.30000000000000004,24379,0.13671602608802658,0.8201279527559056,0.23436346376964456,3333,21046,731,92998
0.4,16199,0.1892092104450892,0.7541830708661418,0.3025218378325026,3065,13134,999,100910
0.5,11106,0.24914460651899875,0.6808562992125984,0.36479894528675016,2767,8339,1297,105705
0.6000000000000001,7545,0.3256461232604374,0.6045767716535433,0.4232922732362822,2457,5088,1607,108956
0.7000000000000001,4820,0.4319502074688797,0.5123031496062992,0.4687077892841063,2082,2738,1982,111306
0.8,2948,0.5593622795115333,0.40575787401574803,0.47033656588705075,1649,1299,2415,112745
0.9,1530,0.7522875816993464,0.28321850393700787,0.41151233464426173,1151,379,2913,113665
