feature,mean_abs_shap
V72,0.00023651645
V140,0.00022944476
V92,0.00022777391
C7,0.00021760883
V331,0.00021374295
V18,0.00021284749
V216,0.00020910957
V170,0.00020869957
V211,0.00020316288
V147,0.00020264238
V59,0.00020244165
V84,0.00020073404
V142,0.00019169266
V151,0.00019030293
V32,0.00019002742
V297,0.00018048036
V232,0.00017821677
V109,0.00017457156
V174,0.00016581104
V153,0.00016212823
V116,0.00015059744
V302,0.00014673117
V144,0.0001441809
V176,0.00014368689
V184,0.00014363542
V213,0.00014124312
V278,0.0001408575
V194,0.00012595564
V146,0.0001225291
V202,0.00011779852
V304,0.00011394485
id_08,0.000113812996
V192,0.00011321006
V39,0.00011220595
V42,0.00010909165
id_24,0.000108236316
V190,0.00010814536
id_34,0.000106069056
V108,0.00010032816
V188,9.986202e-05
V125,9.984547e-05
V43,9.7636475e-05
V262,9.3807015e-05
M1,9.204769e-05
V284,8.740173e-05
id_26,8.432295e-05
V180,8.008387e-05
id_10,7.539807e-05
V186,7.305092e-05
V22,7.294217e-05
id_07,7.211708e-05
id_04,7.1214665e-05
V199,7.089958e-05
V112,7.0734844e-05
V106,7.024798e-05
DeviceType,6.293579e-05
V226,6.1450584e-05
V299,6.0724193e-05
V154,5.797337e-05
V17,5.746191e-05
V141,4.933182e-05
V242,4.763256e-05
V163,4.6068442e-05
V239,4.5673165e-05
is_weekend,4.501256e-05
V275,4.4526514e-05
V254,4.002655e-05
id_21,3.969418e-05
V237,3.9591036e-05
V16,3.953968e-05
V57,3.9377424e-05
V101,3.915145e-05
has_dist2,3.622557e-05
V157,3.5689303e-05
V198,3.47077e-05
is_night,3.353639e-05
V155,3.1906155e-05
V301,3.1610216e-05
V138,3.1073134e-05
V197,2.9822311e-05
V255,2.7779979e-05
V120,2.7605765e-05
V327,2.7288559e-05
V98,2.5114156e-05
V121,2.2172315e-05
V114,2.024422e-05
V31,1.9712006e-05
V196,1.815941e-05
V235,1.6854909e-05
V21,1.581808e-05
id_28,1.537861e-05
V119,1.511132e-05
V252,1.1982184e-05
id_32,9.926061e-06
id_22,9.133151e-06
V103,8.741078e-06
card_is_first_seen,4.5228394e-06
V328,3.1101886e-06
V14,0.0
V1,0.0
has_identity_data,0.0
is_mobile_device,0.0
id_35,0.0
V241,0.0
V249,0.0
id_29,0.0
V240,0.0
c_missing_count,0.0
id_27,0.0
V195,0.0
id_23,0.0
V41,0.0
V185,0.0
V27,0.0
V117,0.0
V111,0.0
V118,0.0
V107,0.0
V325,0.0
V104,0.0
V93,0.0
V334,0.0
V89,0.0
V88,0.0
V80,0.0
V71,0.0
V68,0.0
V65,0.0
V122,0.0
V305,0.0
V113,0.0
V181,0.0
V28,0.0
V110,0.0
